,coords,weight,point_type
191,"(44.8109659, -93.3259132)",59,Child Care
192,"(44.9116556, -93.3019923)",60,Child Care
193,"(44.9608256, -93.0969747)",100,Child Care
194,"(45.2016862, -93.4035404)",68,Child Care
195,"(45.0237829, -93.23533)",22,Child Care
196,"(44.9313826, -93.1808385)",123,Child Care
197,"(45.02180860000001, -93.1065722)",70,Child Care
198,"(45.07964399999999, -93.2991374)",120,Child Care
199,"(45.1000525, -93.455757)",101,Child Care
200,"(45.17819919999999, -93.31673870000002)",174,Child Care
201,"(44.7619455, -93.2191684)",108,Child Care
202,"(44.7908746, -93.2190506)",158,Child Care
203,"(44.9562136, -93.0420893)",138,Child Care
204,"(44.74594310000001, -93.1738084)",172,Child Care
205,"(44.7604593, -93.2497592)",98,Child Care
206,"(44.8580608, -93.5296098)",108,Child Care
207,"(44.8001982, -93.1423453)",108,Child Care
208,"(44.891281, -93.3374553)",124,Child Care
209,"(44.9324743, -93.0068607)",107,Child Care
210,"(45.0093087, -93.0229246)",135,Child Care
211,"(44.9826458, -93.2650986)",139,Child Care
212,"(44.93813369999999, -93.4725975)",89,Child Care
213,"(44.8531823, -93.3556589)",62,Child Care
214,"(45.0328463, -93.1883257)",108,Child Care
215,"(44.9192608, -92.9429601)",141,Child Care
216,"(44.825624, -93.3527853)",109,Child Care
217,"(44.8615408, -93.3331858)",160,Child Care
218,"(44.8893131, -93.4208444)",108,Child Care
219,"(44.3245331, -94.4787718)",20,Child Care
220,"(44.94558010000001, -93.2275112)",58,Child Care
221,"(44.9202542, -93.4313135)",92,Child Care
222,"(45.1734728, -93.8717483)",30,Child Care
223,"(44.7323358, -94.3480434)",15,Child Care
224,"(47.5207305, -92.5355997)",20,Child Care
225,"(44.8933133, -93.3506112)",120,Child Care
226,"(45.0395928, -93.3659424)",40,Child Care
227,"(45.005517, -93.2667125)",100,Child Care
228,"(44.4571372, -93.1576522)",25,Child Care
229,"(44.4442832, -93.1496938)",30,Child Care
230,"(47.8745303, -94.235384)",20,Child Care
231,"(44.8754555, -93.2886635)",27,Child Care
232,"(44.769357, -94.9881633)",20,Child Care
233,"(44.4573781, -93.1538841)",20,Child Care
234,"(46.73237899999999, -92.4612093)",20,Child Care
235,"(46.8635949, -96.7566955)",152,Child Care
236,"(44.732547, -93.1552998)",93,Child Care
237,"(47.7720877, -96.6077225)",20,Child Care
238,"(44.894568, -93.5759352)",66,Child Care
239,"(45.3160807, -93.247788)",38,Child Care
240,"(44.1035382, -93.2144185)",40,Child Care
241,"(46.9233608, -95.0473283)",16,Child Care
242,"(45.1685814, -93.268077)",60,Child Care
243,"(44.2878987, -93.2774213)",107,Child Care
244,"(44.9393313, -93.26221300000002)",32,Child Care
245,"(44.9702403, -93.0050164)",62,Child Care
246,"(44.94718779999999, -93.231902)",15,Child Care
247,"(45.28357380000001, -93.7670471)",30,Child Care
248,"(45.7374367, -94.9482239)",20,Child Care
249,"(45.0857857, -93.2534307)",102,Child Care
250,"(44.8431277, -93.3123906)",70,Child Care
251,"(45.56514, -94.1347455)",59,Child Care
252,"(45.5600901, -94.1950655)",40,Child Care
253,"(44.9261577, -92.9330575)",80,Child Care
254,"(47.88642, -96.2724503)",41,Child Care
255,"(45.0866713, -93.2726209)",20,Child Care
256,"(44.0530873, -91.6850147)",20,Child Care
257,"(44.97633279999999, -93.5236127)",20,Child Care
258,"(44.0353497, -92.5397578)",142,Child Care
259,"(45.0000291, -93.1506279)",40,Child Care
260,"(45.0561981, -93.2196929)",40,Child Care
261,"(44.9264792, -93.132566)",162,Child Care
262,"(44.9261801, -93.1315079)",58,Child Care
263,"(44.9848285, -93.2970474)",72,Child Care
264,"(44.9593603, -93.22524)",30,Child Care
265,"(44.7710086, -93.4866077)",110,Child Care
266,"(45.0777084, -93.4303255)",95,Child Care
267,"(44.9560931, -93.3458364)",186,Child Care
268,"(44.9339729, -93.6175061)",81,Child Care
269,"(44.986293, -93.5030758)",55,Child Care
270,"(43.6346145, -94.0898109)",73,Child Care
